Cliente;NIT;DISTRIBUIDOR
1010000233;9000663519;TECMOVIL COMUNICACIONES S.A.
1010000235;9002064081;TEAM COMMUNICATIONS S.A
1010000238;9002327140;DATOS MOVILES EN LINEA LTDA
1010000246;9002051921;OCAÑAXEL
1010000250;9001779768;COMUNICACIONES JRCB SAS
1010000251;9001674298;COMNAPAC SAS
1010000252;9001925625;SER COMUNICACIONES S.A
1010000254;9003346031;CONVERCEL SAS
1010000255;9003354582;VIP COMUNICACIONES DEL CARIBE S.A.S
1010000257;9003154483;MOVILCO SAS
1010000259;9003176441;EMTEL TELECOMUNICACIONES S.A.S
1010000261;9003330684;CONECTIVIDAD MOVIL S.A.S
1010000265;9002824623;SMART PHONE LTDA
1010000270;9002502114;LEFCOM LTDA
1010000272;9002392331;PHONEMOVIL LTDA
1010000273;9004306657;TEYCOM MOVIL S.A.S.
1010000274;9004193966;TMC TELEFONIA MOVIL DE COLOMBI
1010000275;9003954367;SOUL CENTRO DE TECNOLOGIA
1010000281;9004386741;CELUNORTE COMUNICACIONES SAS.
1010000282;9004366235;SJ MOVIL SAS
1010000283;9004271956;MI RED MOVIL S.A.S
1010000294;9003493553;JKM COMUNICACIONES
1010000299;9003626393;CYM MOVIL COMUNICACIONES S.A.S
1010000300;9003505354;CICOMARG S.A.S.
1010000301;9003862670;CIBERCEL S.A.S.
1010000305;9003789524;COLMOVILES TELECOMUNICACIONES S.A.S
1010000307;9005514169;ALL STAR COMUNICACIONES SAS
1010000308;9005156345;VALDIVIESO Y ASOCIADOS S.A.S  HABL
1010000309;9005004160;REBI SAS
1010000311;9005168353;COM MOVIL SAS
1010000314;9005065016;BLACKMOVIL SAS
1010000316;9005212118;SERVICIO TECNOLOGIA Y COMUNICACIONE
1010000318;9005619116;GB CELL DISTRIBUIDORES SAS
1010000320;9005432445;TECNET COMUNICACIONES S.A.S.
1010000322;9005664917;SOLUMOVIL DEL CARIBE S.A.S
1010000324;9005272068;OPCIONES EN COMUNICACION SAS
1010000325;9005272652;TECNOLOGIA Y TELECOMUNICACIONES
1010000326;9004969308;INVERSIONES MENDEZ SANCHEZ (MOBILEL
1010000331;9004589931;CEL LIFE COMUNICACIONES LTDA
1010000333;9004613092;SOTECCOM SAS
1010000338;9004690704;COMNORTE SAS
1010000342;9004704178;MARSAN COMUNICACIONES SAS
1010000344;9007340171;GRUPO EMPRESARIAL EL PUNTO DE COLOMBBIA - GEPCOL
1010000345;9006576050;DITCOM S.A.S
1010000346;9007350855;LED COMUNICACIONES SAS
1010000349;9007391441;INNOVACOM LIDER SAS
1010000350;9006603523;TECPHONE S.A.S.
1010000359;9007190872;HOGULMOVIL S.A.S
1010000361;9006950204;ROMEROS COMUNICACIONES SAS
1010000362;9006702162;RECARGA MOVIL S.A.S
1010000363;9007524376;CELLPEOPLE S.A.S.
1010000364;9007412421;MOBILE CENTER J&A TELECOMUNICACIONE
1010000367;9006980018;MOVILCENTER DEL NORTE
1010000368;9006989691;FOTOSPORT SAS
1010000369;9006526190;PORTABLE COMUNICACIONES SAS
1010000371;9006556148;CPC CENTRO DE NEGOCIOS DE COM
1010000374;9005985525;KLIK MOVIL SAS
1010000375;9006398312;CLEAR PHONE SAS
1010000380;9006019140;ANCLA TELECOMUNICACIONES S.A.S
1010000384;9006291652;CELU STAR COMUNICACIONES S.A.S
1010000389;9006111194;MULTISERVICIOSDEL RIONEGRO S.A
1010000391;9006442069;CONFEMOVIL S.A.S.
1010000392;9005880854;BEST COMUNICACIONES SAS
1010000393;9006329627;CLAROCEL SAS
1010000394;9006467771;MISCELU SAS
1010000395;9006334953;DATASMART
1010000396;9005932123;ALO COMUNICACIONES CAQUETA S.A.S
1010000398;9006139681;QUICENO Y GARZON SAS
1010000400;9007663820;INVERSIONES ARAUJO DOMINGUEZ S
1010000401;9007712641;TECNOLOGIA Y COMUNICACIONES GANAMOV
1010000403;9007791078;ISAMOVIL S.A.S.
1010000404;9007799485;DISTRIMOVIL ORIENTE S.A.S.
1010000411;9007127119;CLARO ENLACES S.A.S.
1010000416;9008363101;MOBILECITY COMUNICACIONES SAS
1010000417;9008629014;COMUNICACIONES S Y G S.A.S.
1010000418;9008671851;PLANETA MOVIL .VC S.A.S.
1010000421;9007185127;WAP COMUNICACIONES S.A.S.
1010000425;9008110574;DAVIDMOVIL S.A.S.
1010000426;9007813554;WINERY CELL S.A.S.
1010000430;9007453393;SERVITELCS SAS
1010000437;9008254198;LOW COMUNICACIONES SAS
1010000450;9007812929;MOVIL PROS S.A.S.
1010000451;9008485726;STARCELL.COM S.A.S.
1010000460;9008620178;TECHMOVIL COMUNICACIONES
1010000462;9008621209;JARA INMOBILIARIA SERV INT SAS
1010000473;9007542702;TELECEL LORICA S.A.S.
1010000476;9001657136;KONECTA
1010000486;9008147464;GRUPO EMPRESARIAL RAPC S.A.S.
1010000487;9007719923;ANDINOCELL S.A.S.
1010000488;9007657954;LUNA TELEFONIA MOVIL SAS
1010000489;9007535060;CELUTECN SERVICIOS SAS
1010000491;9007760076;CELUNET IP S.A.S.
1010000496;9008834045;HELCOM S.A.S
1010000500;9008623807;CELLPLUS SAS
1010000506;9008839379;BOLAÑOCELL ORO SAS
1010000507;9008227332;TIENDA MOVIL DEL TOLIMA S.A.S.
1010000508;9008459542;INNOVACEL COMUNICACIONES SAS
1010000515;9008815273;STOCK MOVIL JL SAS
1010000520;9008611243;MUNDO MOVILJ&L S.A.S.
1010000521;9008087746;GUARNECELL SAS
1010000526;9008650780;CEL.MOBILLE S.A.S.
1010000531;9002659909;ALIANZA D.T.  S.A.S.
1010000540;9008715367;SMARTMOBILE SAS
1010000551;9008330142;MARKETCELL  SAS
1010000555;9008832790;DISTRIMOVIL COLOMBIA S.A.S
1010000556;9008455557;PK MOBILE GREEN SAS
1010000557;9008803541;RIO STAR COMUNICACIONES S.A.S
1010000558;9008323221;BOYTEL  SAS
1010000561;9008877403;GRILLO RM  SAS
1010000566;9008664701;JYN COMUNICACIONES S.A.S
1010000567;9008799327;CELUMAX JT COMUNICACIONES SAS
1010000577;9008610981;DISTRICEL.PARK S.A.S
1010000590;9008844476;TELNORTE S.A.S
1010000592;9008615491;DIESTRO S.A.S
1010000600;9008890942;LIKE TECHNOLOGY S.A.S
1010000602;9007380074;INVERCELL DEL CARIBE S.A.S
1010000603;9004448851;TIENDA WEB A&T S.A.S
1010000604;9009143367;GALCOM S.A.S GALLEGO COMUNICACIONES
1010000606;9007366382;CELULLANO NYB S.A.S.
1010000608;9008671620;CNG COMUNICCACIONES EU
1010000610;9009294441;CELLOCCIDENTE S.A.S
1010000616;9007690930;GOLD GROUP G&G S.A.S
1010000618;9007491600;MEYER MOVILES S.A.S
1010000622;9008629798;TECNOLOGIA MOVIL CELULAR
1010000623;8300950141;ARTECOM COMUNICACIONES SAS
1010000625;9009341327;SERVICIO Y SOLUCIONES MOVILES SAS
1010000627;9009345541;NOVAPHONE S.A.S.
1010000628;9008658288;COMUNICATTE SAS
1010000629;9008719700;SOCOLTEC S.A.S
1010000634;9009901927;TECMOVIL GH S.A.S
1010000635;9009663567;MOVIL PHONE DEL LLANO SAS
1010000650;9008940319;TECNOLOGIA DE CELULARES Y COMUNICAC
1010000651;9008475105;JV COMUNICACIONES MAXI S.A.S
1010000653;9009925040;CONECTATE COMUNICACIONES MOVILES S.
1010000655;9004065260;LLANO MOVILES NICEL S.A.S
1010000657;9009589888;STAR CELL 5 S.A.S
1010000658;9009108313;BARCA MOVIL S.A.S
1010000659;9007791521;SOLUCIONES EN COMUNICACIONES JJL S.
1010000660;9008915710;TELCOSTA COMUNICACIONES S.A.S
1010000661;9009657035;CELUSTORE COMUNICACIONES S.A.S
1010000665;9008772639;ANCLU SAS
1010000670;9007855527;SOLUCIONES MOVILESRIO SAS
1010000680;9006615857;RB COMUNICACIONES Y MANTENIMIENTO S
1010000697;9009410011;BIGTELL SAS
1010000698;9007083404;CONEXIONES CELULARES SAS
1010000699;9005585841;INTERED COMUNICACIONES J&V SAS
1010000700;9010069325;INVERSIONES SALAZAR VILLEGAS SAS
1010000704;9007497688;GLOBAL MR S.A.S.
1010000706;9009577579;COMUNICACIONES RH S.A.S.
1010000707;9008559394;SPC COMERCIAL SAS
1010000709;9010434360;SDL  COMUNICACIONES S.A.S
1010000710;9008786754;RCI TECNOLOGY SAS
1010000715;9009379516;CELUGROUP S.A.S.
1010000720;8600682554;COMPAÑÍA DE ADMINISTRACIÓN Y SERVICIOS  SERDAN S.A
1010000721;9010088104;RED COMUNICA SAS
1010000725;9009581741;OLAMCELL RED S.A.S
1010000730;9009611251;MUNDO MOVIL EL INGENIERO SAS
1010000735;9008561741;DISTRICELCOM.COM SAS
1010000741;9005261714;UNO 27 S.A.S.
1010000750;9009193202;COMERCIALIZADORA Y DISTRIBUIDORA MULTI JF
1010000751;9010519286;BMOVIL COMUNICACIONES SAS
1010000753;9010025893;MC MULTICELL S.A.S 
1010000754;9010027692;ALIANZA SERCO
1010000755;9010518446;MOVILMETA SAS
1010000756;9009622009;CELL PHONE YP E.U
1010000757;9000826211;ENERGITELCO SAS
1010000760;9005121111;DITEL PHONE SAS
1010000759;9004239487;TN COLOMBIA S A S
1010000765;9009917977;CELMARKET
1010000766;9010637883;COMUNICACIONES J.Q. S.A.S.
1010000775;9009663338;BLIME LINK
1010000780;9002209801;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL TIERRA DE NEGOCIOS S.A
1010000786;9011106894;FENIX GROUP COMUNICACIONES S.A.S.
1010000788;8060156474;COMPULAGO SAS
1010000791;9010926642;INFOCELL S.A.S
1010000792;9011032079;OK MULTISERVICIOS S.A.S
1010000800;9010738361;CONECTADOS MOVIL S.A.S
1010000805;9010118169;TECHSELL COLOMBIA SAS
1010000810;9009391770;GARMA COMUNICACIONES SAS
1010000820;9011691232;MOBITECH GROUP SAS
1010000825;9010297731;RYL TELECOMUNICACIONES S.A.S
1010000835;9010308650;CEMOVIL DE OCCIDENTE
1010000840;9011664344;SOTO & OSORNO COMUNICACIONES SAS
1010000841;9011974759;S&T CONECTA SAS
1010000842;9010039314;DISTRIBUCIONES TECOMOVIL SAS
1010000843;9003530436;CELU STAR NET SAS
1010000845;9011766811;CELUCOLOMBIA S.A.S
1010000850;9011751323;INVERSIONES OPEN MOBILE
1010000851;9009882248;POCHOCELL JR SAS
1010000857;9005841768;JFD MOBILE PARTS SAS
1010000860;8301349713;CONECTAR TV SAS
1010000866;8040112680;TELECOMUNICACIONES CYBERTEL LTDA
1010000868;9012193090;VIBRA COLOMBIA COMUNICACIONES SAS
1010000870;9003799353;ITDNT
1010000871;9011520666;SERVICIOS PUNTO EXPRESS SAS
1010000880;9010281657;GREGARCO SAS
1010000881;9011183943;CONVERCELL S.A.S.
1010000882;9008074224;REDESTELCO S.A.S.
1010000885;9011738631;E-MOBILE SAS
1010000886;9011922885;MESA VILLOTA  SAS
1010000890;9007851760;DISTRIBUCIONES Y CELULARES SEBASTIA
1010000895;9010834798;PROMOSMART SAS
1010000896;9007468881;LLANOGOLD SAS
1010000905;9012334144;DISTRIBUCIONES DEL QUINDIO SAS
1010000906;9012234641;RCARGAS ZOMAC SAS
1010000910;9008799871;COMUNICACIONES DOFER
1010000911;9011973474;LAUSHA COMUNICACIONES SAS
1010000912;9009466219;SOLUCIONES TMC SAS
1010000913;9012220674;ALTYCOM BPO SAS
1010000915;9012203884;RECARGAME SAS
1010000920;9011915506;DIGICEL T&T SAS
1010000923;9010562400;WHEEL RED S.A.S
1010000924;9012181494;SOLUMOBILE DEL EJE ZOMAC SAS
1010000925;9010576461;NUEVAS ESTRATEGIAS EN TELECOMUNICAC
1010000926;9012175905;MUNDO TECNOLOGICO GROUP SAS
1010000927;9012343394;SURYTEL COMUNICACIONES SAS
1010000930;9006732808;MAX EVOLUTION
1010000931;9002165004;MAGANET.COM S.A.S
1010000932;9010659651;RHANDOM S.A.S.
1010000933;8070030721;COMERCIALIZADORA CAMDUN S.A.S
1010000934;9012020489;CONECTA CORPORATIONS SAS
1010000936;8909262571;INMEL INGENIERÍA S.A.S.
1010000937;9011792272;8G TELECOMUNICACIONES
1010000945;9000719589;V&V IMPORT LTDA
1010000946;9009012688;TELECOMUNICACIONES SATELITALES RB SAS
1010000947;9012465471;COMUNICACIONES SOL DEL CARIBE SAS
1010000950;9012376962;DIGITAL MOVIL SD SAS ZOMAC
1010000955;9006641865;FURTELCOM S.A.S
1010000960;9011058948;TITAN MAXCORPORATION S.A.S
1010000965;9007493361;ALMACONTACT SAS
1010000966;9012846962;GESA GRUPO EMPRESARIAL SAS
1010000967;9011523718;GRUPO S&C COLOMBIA S.A.S.
1010000970;9007564840;ASISTE INGENIERIA SAS - AIG
1010000971;9012894779;COMUNICACIONES CLARO DEL ARCHIPIELAGO
1010000972;9005186356;100% COMUNIEFICAZ SAS
1010000973;9012059035;TECNOMOBILES SAS
1010000975;8110420872;COMPAÑIA INTEGRAL NEGOCIOS DE COLOMBIA - CINCO
1010000976;9009463776;R&R COMUNICATIONS NETWORKS AND
1010000981;9010762825;SAN PABLO TECH SAS
1010000986;9013049498;L&J COMUNICACIONES
1010000990;9013159123;ONSALES SAS
1010000991;9013210837;J&C MOVILE SAS
1010000992;9002305786;GNP GRUPO NACIONAL DE PROYECTOS S A
1010000993;9013280577;SUMATE GROUP SAS
1010000995;9003392892;DISTRIBUCIONES TU SIM SAS
1010000996;9013210837;J&C MOVILE SAS
1010001000;9013228647;FIBERGROUP SAS
1010001005;9013091639;CELUCLICK SAS
1010001015;8305094698;COMPRODIGIOS S.A.S.
1010001020;901334666;TIENDA MOVIL COLOMBIA ZOMAC S.A.
1010001021;9010961481;SOLUCION MOVIL DG SAS
1010001025;9007074232;ESKATEMP SAS
1010001030;9013322658;C&G CONECTA LTDA
1010001037;9013322167;AUGE DISTRIBUCIONES S.A.S
1010001045;9011441567;O&C VILLA DEL PRADO
1010001047;9014104326;GRUPO EMPRESARIAL ESTRATEGAS COLOMB
1010001050;9013064321;COMUNICACIONES GANA SAS
